space_id,space_name,category_id,category_name,location_id,location_name,booking_rate_1week,total_hours_available_1week,total_hours_booked_1week,booking_count_1week,booking_rate_2weeks,total_hours_available_2weeks,total_hours_booked_2weeks,booking_count_2weeks,booking_rate_1month,total_hours_available_1month,total_hours_booked_1month,booking_count_1month,booking_rate_2months,total_hours_available_2months,total_hours_booked_2months,booking_count_2months,booking_rate_3months,total_hours_available_3months,total_hours_booked_3months,booking_count_3months,next_available_booking
19905,Scott 203K - Audio Recording Studio,5833,Audio Recording Rooms,7571,Scott Library Making & Media Creation Lab,7.86,35.0,2.75,2,4.3,64.0,2.75,2,2.15,128.0,2.75,2,1.4,197.0,2.75,2,0.86,319.0,2.75,2,2025-11-05 11:00
29187,Scott 207C - Audio Recording Booth,5833,Audio Recording Rooms,7571,Scott Library Making & Media Creation Lab,5.0,35.0,1.75,1,2.73,64.0,1.75,1,1.37,128.0,1.75,1,0.89,197.0,1.75,1,0.55,319.0,1.75,1,2025-11-05 11:00
32502,Scott 207D - Audio Recording Booth,5833,Audio Recording Rooms,7571,Scott Library Making & Media Creation Lab,7.14,35.0,2.5,1,3.91,64.0,2.5,1,1.95,128.0,2.5,1,1.27,197.0,2.5,1,0.78,319.0,2.5,1,2025-11-06 11:00
19904,Scott 204 - Flex Studio,6842,Flex Studio Spaces,7571,Scott Library Making & Media Creation Lab,62.14,35.0,21.75,10,51.95,64.0,33.25,15,30.66,128.0,39.25,17,31.6,197.0,62.25,25,25.16,319.0,80.25,31,2025-11-12 11:00
21083,Scott 203E - VR/Podcasting Room,5832,VR Rooms,7571,Scott Library Making & Media Creation Lab,20.0,35.0,7.0,4,21.88,64.0,14.0,8,12.5,128.0,16.0,9,9.14,197.0,18.0,10,5.64,319.0,18.0,10,2025-11-05 11:00
21082,Scott 203G - VR Room,5832,VR Rooms,7571,Scott Library Making & Media Creation Lab,0.0,35.0,0.0,0,0.0,64.0,0.0,0,0.0,128.0,0.0,0,0.0,197.0,0.0,0,0.0,319.0,0.0,0,2025-11-05 11:00
33206,Gaming Lab (Rm 3050),7959,Gaming Lab,8111,Markham Library Visualization Studio and Gaming Lab,0.0,64.5,0.0,0,0.0,120.0,0.0,0,0.0,247.0,0.0,0,0.0,399.0,0.0,0,0.0,639.0,0.0,0,2025-11-05 09:30
30719,Green Screen Video Studio (Rm 3060C),7761,Video Studios,8111,Markham Library Media Creation Studios and Equipment,1.55,64.5,1.0,1,0.83,120.0,1.0,1,0.4,247.0,1.0,1,0.25,399.0,1.0,1,0.16,639.0,1.0,1,2025-11-05 09:30
30720,Video and Photo Studio (Rm 3060H),7761,Video Studios,8111,Markham Library Media Creation Studios and Equipment,9.3,64.5,6.0,3,5.0,120.0,6.0,3,2.43,247.0,6.0,3,1.5,399.0,6.0,3,0.94,639.0,6.0,3,2025-11-05 09:30
31827,Podcast Studio #1 (Rm 3060B),7762,Podcast Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,64.5,0.0,0,0.0,120.0,0.0,0,0.0,247.0,0.0,0,0.0,399.0,0.0,0,0.0,639.0,0.0,0,2025-11-05 09:30
30701,Podcast Studio #2 (Rm 3060D),7762,Podcast Studios,8111,Markham Library Media Creation Studios and Equipment,1.55,64.5,1.0,1,0.83,120.0,1.0,1,0.4,247.0,1.0,1,0.25,399.0,1.0,1,0.16,639.0,1.0,1,2025-11-05 09:30
30721,Editing and Music Studio #1 (Rm 3060G),7467,Editing Studios,8111,Markham Library Media Creation Studios and Equipment,3.88,64.5,2.5,1,2.08,120.0,2.5,1,1.01,247.0,2.5,1,0.63,399.0,2.5,1,0.39,639.0,2.5,1,2025-11-05 09:30
30722,Editing and Music Studio #2 (Rm 3060F),7467,Editing Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,64.5,0.0,0,0.0,120.0,0.0,0,0.0,247.0,0.0,0,0.0,399.0,0.0,0,0.0,639.0,0.0,0,2025-11-05 09:30
30723,Editing and Music Studio #3 (Rm 3060E),7467,Editing Studios,8111,Markham Library Media Creation Studios and Equipment,1.55,64.5,1.0,1,0.83,120.0,1.0,1,0.4,247.0,1.0,1,0.25,399.0,1.0,1,0.16,639.0,1.0,1,2025-11-05 09:30
33193,Mixed Use Studio (Rm 3045),7951,Large Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,64.5,0.0,0,0.0,120.0,0.0,0,0.0,247.0,0.0,0,0.0,399.0,0.0,0,0.7,639.0,4.5,2,2025-11-05 09:30
