space_id,space_name,category_id,category_name,location_id,location_name,booking_rate_1week,total_hours_available_1week,total_hours_booked_1week,booking_count_1week,booking_rate_2weeks,total_hours_available_2weeks,total_hours_booked_2weeks,booking_count_2weeks,booking_rate_1month,total_hours_available_1month,total_hours_booked_1month,booking_count_1month,booking_rate_2months,total_hours_available_2months,total_hours_booked_2months,booking_count_2months,booking_rate_3months,total_hours_available_3months,total_hours_booked_3months,booking_count_3months,next_available_booking
19905,Scott 203K - Audio Recording Studio,5833,Audio Recording Rooms,7571,Scott Library Making & Media Creation Lab,12.14,35.0,4.25,2,6.64,64.0,4.25,2,3.17,134.0,4.25,2,1.66,256.0,4.25,2,1.14,372.0,4.25,2,2026-02-02 13:45
29187,Scott 207C - Audio Recording Booth,5833,Audio Recording Rooms,7571,Scott Library Making & Media Creation Lab,0.0,35.0,0.0,0,0.0,64.0,0.0,0,0.0,134.0,0.0,0,0.0,256.0,0.0,0,0.0,372.0,0.0,0,2026-02-02 11:00
32502,Scott 207D - Audio Recording Booth,5833,Audio Recording Rooms,7571,Scott Library Making & Media Creation Lab,0.0,35.0,0.0,0,0.0,64.0,0.0,0,0.0,134.0,0.0,0,0.0,256.0,0.0,0,0.0,372.0,0.0,0,2026-02-02 11:00
19904,Scott 204 - Flex Studio,6842,Flex Studio Spaces,7571,Scott Library Making & Media Creation Lab,70.0,35.0,24.5,11,58.2,64.0,37.25,16,48.51,134.0,65.0,25,33.4,256.0,85.5,32,28.63,372.0,106.5,39,2026-02-10 11:00
21083,Scott 203E - VR/Podcasting Room,5832,VR Rooms,7571,Scott Library Making & Media Creation Lab,0.0,35.0,0.0,0,3.12,64.0,2.0,1,1.49,134.0,2.0,1,0.78,256.0,2.0,1,0.54,372.0,2.0,1,2026-02-02 11:00
21082,Scott 203G - VR Room,5832,VR Rooms,7571,Scott Library Making & Media Creation Lab,4.29,35.0,1.5,1,5.47,64.0,3.5,2,2.61,134.0,3.5,2,1.37,256.0,3.5,2,0.94,372.0,3.5,2,2026-02-02 11:00
33206,Gaming Lab (Rm 3050),7959,Gaming Lab,8111,Markham Library Visualization Studio and Gaming Lab,0.0,64.5,0.0,0,0.0,111.0,0.0,0,4.17,240.0,10.0,1,4.39,478.0,21.0,2,3.03,693.0,21.0,2,2026-02-02 09:30
30719,Green Screen Video Studio (Rm 3060C),7761,Video Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,64.5,0.0,0,0.0,111.0,0.0,0,0.0,240.0,0.0,0,0.52,478.0,2.5,1,0.36,693.0,2.5,1,2026-02-02 09:30
30720,Video and Photo Studio (Rm 3060H),7761,Video Studios,8111,Markham Library Media Creation Studios and Equipment,12.4,64.5,8.0,1,7.21,111.0,8.0,1,3.33,240.0,8.0,1,1.67,478.0,8.0,1,1.15,693.0,8.0,1,2026-02-02 09:30
31827,Podcast Studio #1 (Rm 3060B),7762,Podcast Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,64.5,0.0,0,0.0,111.0,0.0,0,0.0,240.0,0.0,0,0.0,478.0,0.0,0,0.0,693.0,0.0,0,2026-02-02 09:30
30701,Podcast Studio #2 (Rm 3060D),7762,Podcast Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,64.5,0.0,0,0.0,111.0,0.0,0,0.0,240.0,0.0,0,0.0,478.0,0.0,0,0.0,693.0,0.0,0,2026-02-02 09:30
30721,Editing and Music Studio #1 (Rm 3060G),7467,Editing Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,64.5,0.0,0,0.0,111.0,0.0,0,0.0,240.0,0.0,0,0.0,478.0,0.0,0,0.0,693.0,0.0,0,2026-02-02 09:30
30722,Editing and Music Studio #2 (Rm 3060F),7467,Editing Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,64.5,0.0,0,0.0,111.0,0.0,0,0.0,240.0,0.0,0,0.0,478.0,0.0,0,0.0,693.0,0.0,0,2026-02-02 09:30
30723,Editing and Music Studio #3 (Rm 3060E),7467,Editing Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,64.5,0.0,0,0.0,111.0,0.0,0,0.0,240.0,0.0,0,0.0,478.0,0.0,0,0.0,693.0,0.0,0,2026-02-02 09:30
33193,Mixed Use Studio (Rm 3045),7951,Large Studios,8111,Markham Library Media Creation Studios and Equipment,12.4,64.5,8.0,1,7.21,111.0,8.0,1,4.79,240.0,11.5,2,2.41,478.0,11.5,2,1.98,693.0,13.75,3,2026-02-02 09:30
